ID,cache,timestamp,period,hits,misses,errors,totalRequests,avgHitLatency,minHitLatency,maxHitLatency,avgMissLatency,minMissLatency,maxMissLatency,avgReadThroughLatency,hitRatio,throughput,errorRate,cacheEfficiency,nativeSets,nativeGets,nativeDeletes,nativeClears,nativeDeleteByTags,nativeErrors,totalNativeOperations,nativeThroughput,nativeErrorRate,memoryUsage,itemCount,uptimeMs
Metrics-15160628,caching,2002-03-09T14:00:00.000Z,monthly,77,63,58,71,62.57818112605494,96.80434076843683,3.303638404998657,94.30651004488605,25.78673013344968,91.44304939656162,36.2114519921152,93.24357717305608,23.172139906718282,14.534879183292121,33.3254551641116,31,70,42,8,63,21,5,51.15639145693428,89.87109028281222,7,10,34
Metrics-15160629,caching,2005-06-28T14:00:00.000Z,hourly,62,30,23,51,62.71457206183416,59.26386156006884,84.63993976253205,96.28465224795953,46.53433146695203,97.2982233018496,94.13480896583073,56.186381160974854,96.68914535983805,67.96029667066261,33.42959805727494,89,85,86,81,28,55,48,63.43601304801059,70.78551095791447,26,47,76
Metrics-15160630,caching,2004-10-09T14:00:00.000Z,daily,58,29,84,87,99.85490426419389,89.928886252622,34.071084542553635,57.695140782988894,32.57675424379457,32.10447950394095,49.02389798049898,25.721148308518256,18.797974746135175,82.49288793290644,33.77179803403696,100,25,10,91,40,57,2,50.33324970515086,63.14342036077274,1,21,98
Metrics-15160631,caching,2005-04-13T14:00:00.000Z,daily,99,31,25,6,1.502298684033131,43.286437141084356,43.643573119627874,34.75752065139851,83.75897686436612,20.637897564833764,6.7704147072474425,49.977076730514874,41.996015052065786,13.329248644210088,97.74719082948373,62,49,80,11,71,28,52,84.67455755005764,55.696476526055925,93,52,35
Metrics-15160632,caching-northwind,2007-04-25T14:00:00.000Z,daily,99,0,54,0,40.33635334715611,40.570095795600466,5.0781619289182265,98.00305719122854,44.04389006750217,42.78628564105785,50.533192604683876,10.621014155150378,32.0919887767874,53.24931050808463,42.503672317842145,42,58,20,14,61,85,15,92.43702678271221,85.40434142302773,61,69,52
Metrics-15160633,caching-northwind,2001-11-23T14:00:00.000Z,daily,42,50,58,98,1.0998134038310938,53.97776946391398,8.377844464924188,26.07094846317794,61.965078079475646,53.439274043595496,78.64171257090194,11.899046223306382,73.36398853811349,55.007739907876406,75.77701827051297,15,6,56,49,97,96,70,1.8379496048096318,97.45647379691545,34,94,74
Metrics-15160634,caching-northwind,2023-01-09T14:00:00.000Z,monthly,84,51,3,84,73.64536820926465,61.18086875037214,85.35230774130518,70.2264022186603,50.193979198863836,31.29550586847028,2.896895136930973,6.374100834439739,48.04248999829177,67.71535694148952,61.96563511114764,90,76,61,1,67,0,89,64.29416282419716,89.50658071552576,90,62,37
Metrics-15160635,caching-northwind,2005-04-23T14:00:00.000Z,hourly,2,45,85,100,35.09220856826747,32.37797890782265,61.378271963129414,29.770765416905792,0.7215888985413071,52.391752381357605,87.61861155481324,87.38998939185107,12.965724110332303,12.9499541345786,49.4903569320483,8,87,62,97,80,12,1,68.26036680000598,37.06210544376668,35,47,50
Metrics-15160636,caching-northwind,2010-06-14T14:00:00.000Z,daily,79,56,15,54,94.15737346915422,11.091951389576874,25.292743746674333,99.91883387653887,93.51776263854511,17.6298132414422,52.2953135194545,57.27210512528303,5.933624105964166,9.683142761363982,9.263096821671692,17,92,95,2,6,3,61,44.47227574691653,39.930085286899,25,100,71
Metrics-15160637,caching-northwind,2008-07-08T14:00:00.000Z,daily,75,91,19,57,48.957368887017985,1.8047542936441867,74.21696138152917,51.67228460907014,88.55075213122835,18.086100857602187,31.085737811423193,81.23027022141412,49.89485004392682,88.37537527255213,56.094559053099026,76,87,90,89,84,53,82,16.629588918179035,89.62779961915398,88,33,93
