ID,cache,keyName,lastAccess,period,operationType,hits,misses,errors,totalRequests,hitRatio,cacheEfficiency,avgHitLatency,minHitLatency,maxHitLatency,avgMissLatency,minMissLatency,maxMissLatency,avgReadThroughLatency,throughput,errorRate,nativeHits,nativeMisses,nativeSets,nativeDeletes,nativeClears,nativeDeleteByTags,nativeErrors,totalNativeOperations,nativeThroughput,nativeErrorRate,dataType,operation,metadata,context,query,subject,target,tenant,user,locale,timestamp,cacheOptions
KeyMetrics-8478023,caching,KeyMetrics-8478023,2004-05-25T14:00:00.000Z,hourly,read_through,20,26,62,89,81.82752146837828,56.62787439357504,69.66005836181328,23.426615262818874,36.35806146935766,16.4912971511575,58.57705724384758,54.69318380798936,49.39484016212202,43.602204863534794,89.04202574229033,38,90,11,79,91,71,19,73,82.45522378007861,34.83294336920198,dataType-8478023,operation-8478023,metadata-8478023,context-8478023,query-8478023,subject-8478023,target-8478023,tenant-8478023,user-8478023,locale-8478023,2016-08-09T14:00:00.000Z,cacheOptions-8478023
KeyMetrics-8478024,caching,KeyMetrics-8478024,2023-07-21T14:00:00.000Z,hourly,native,78,4,30,95,74.92508396072304,2.238634760060338,28.161472592845847,56.56074735649133,56.43410919557955,43.549548061636784,65.95797236946672,37.434293865740635,51.58226262614565,92.32004069037687,11.151302012753698,10,47,94,75,83,83,63,15,39.859757678004975,61.702546220096366,dataType-8478024,operation-8478024,metadata-8478024,context-8478024,query-8478024,subject-8478024,target-8478024,tenant-8478024,user-8478024,locale-8478024,2016-09-21T14:00:00.000Z,cacheOptions-8478024
KeyMetrics-8478025,caching,KeyMetrics-8478025,2011-12-08T14:00:00.000Z,daily,mixed,6,59,1,5,23.195799590956224,8.693052008631033,29.937034650391187,42.823270026421554,33.999734135391805,56.142643159972074,47.958261774170424,3.6757764738271277,3.110540386180932,33.1366245743743,73.255080978558,56,60,50,75,36,69,38,94,63.517909292081356,92.60259736630391,dataType-8478025,operation-8478025,metadata-8478025,context-8478025,query-8478025,subject-8478025,target-8478025,tenant-8478025,user-8478025,locale-8478025,2016-08-02T14:00:00.000Z,cacheOptions-8478025
KeyMetrics-8478026,caching,KeyMetrics-8478026,2006-06-15T14:00:00.000Z,hourly,mixed,2,43,48,45,61.87682160371496,31.313856442930437,78.07704610321413,92.7901250684016,85.96085068114589,52.001720063449994,83.01833244732778,82.79047502276276,28.081024001707977,29.665546225257565,7.14068341554953,60,46,30,87,3,45,65,75,34.15680447861017,48.8778140642126,dataType-8478026,operation-8478026,metadata-8478026,context-8478026,query-8478026,subject-8478026,target-8478026,tenant-8478026,user-8478026,locale-8478026,2001-11-08T14:00:00.000Z,cacheOptions-8478026
KeyMetrics-8478027,caching-northwind,KeyMetrics-8478027,2006-09-22T14:00:00.000Z,current,native,71,68,86,19,68.7362292014759,17.698381637315606,82.981108884523,41.46019149552996,76.59342843615843,2.61369331132733,14.045836845989742,4.5171397701353735,62.8136009636585,54.16014540981355,8.485474313412832,52,33,22,38,57,43,42,88,89.38737593771718,44.43953361406051,dataType-8478027,operation-8478027,metadata-8478027,context-8478027,query-8478027,subject-8478027,target-8478027,tenant-8478027,user-8478027,locale-8478027,2004-04-03T14:00:00.000Z,cacheOptions-8478027
KeyMetrics-8478028,caching-northwind,KeyMetrics-8478028,2021-02-21T14:00:00.000Z,hourly,mixed,66,34,33,63,87.96560137454017,50.92989356729755,38.082832938459774,94.03293511128612,78.3345552363306,71.66695850510575,24.554425015543387,5.259401781972643,38.278429732122525,99.08107712427648,20.876656445397742,92,40,68,30,24,64,48,41,94.44416610344575,68.85230893719239,dataType-8478028,operation-8478028,metadata-8478028,context-8478028,query-8478028,subject-8478028,target-8478028,tenant-8478028,user-8478028,locale-8478028,2005-10-20T14:00:00.000Z,cacheOptions-8478028
KeyMetrics-8478029,caching-northwind,KeyMetrics-8478029,2023-11-04T14:00:00.000Z,hourly,read_through,3,35,84,2,60.69342197836753,98.92969668649867,6.934559667407402,74.00801471016793,2.9193620810350795,28.633073859378516,46.256954870867474,59.160360669510524,48.941822353347405,79.81524927387618,94.1974923378248,59,78,55,66,78,99,14,22,89.55311331610332,66.0690262318488,dataType-8478029,operation-8478029,metadata-8478029,context-8478029,query-8478029,subject-8478029,target-8478029,tenant-8478029,user-8478029,locale-8478029,2000-04-04T14:00:00.000Z,cacheOptions-8478029
KeyMetrics-8478030,caching-northwind,KeyMetrics-8478030,2014-09-16T14:00:00.000Z,current,mixed,74,82,60,73,74.17572215537143,14.008411870602991,83.40190382725447,13.389751095590032,70.5010219800292,6.297938554811854,72.02688278908087,1.2783688048164799,84.89749610172241,39.59912664986802,15.486257808356685,2,97,3,19,39,31,6,74,23.454104933185782,39.43608631183728,dataType-8478030,operation-8478030,metadata-8478030,context-8478030,query-8478030,subject-8478030,target-8478030,tenant-8478030,user-8478030,locale-8478030,2016-02-19T14:00:00.000Z,cacheOptions-8478030
KeyMetrics-8478031,caching-northwind,KeyMetrics-8478031,2007-12-03T14:00:00.000Z,hourly,mixed,39,67,36,17,14.014879102727088,71.26304130732879,88.44581932309511,21.589826927427143,90.70058282507078,65.41918427149007,74.79373778070777,37.69108546653385,56.96672273909027,13.143014388537209,48.68700081937156,77,33,44,90,58,21,14,3,50.805650327868214,20.671794672964502,dataType-8478031,operation-8478031,metadata-8478031,context-8478031,query-8478031,subject-8478031,target-8478031,tenant-8478031,user-8478031,locale-8478031,2013-01-31T14:00:00.000Z,cacheOptions-8478031
KeyMetrics-8478032,caching-northwind,KeyMetrics-8478032,2001-03-31T14:00:00.000Z,current,native,34,23,43,28,59.700659361851926,64.80166273639387,10.77714352396237,16.05919792726312,10.642448859771903,57.534026452773226,75.54577144984204,16.704740987825488,13.400901170244866,89.77901326213734,5.041825840302733,53,31,91,81,54,93,90,82,81.25843021803037,98.74062691932028,dataType-8478032,operation-8478032,metadata-8478032,context-8478032,query-8478032,subject-8478032,target-8478032,tenant-8478032,user-8478032,locale-8478032,2003-08-03T14:00:00.000Z,cacheOptions-8478032
